variable_original,categoria,variable_codificada
cluster_consumo,cluster_0,cluster_consumo_cluster_0
cluster_consumo,cluster_1,cluster_consumo_cluster_1
cluster_consumo,cluster_2,cluster_consumo_cluster_2
horario_consumo,consumo_madrugada_variable,horario_consumo_consumo_madrugada_variable
horario_consumo,consumo_noche_variable,horario_consumo_consumo_noche_variable
horario_consumo,consumo_tarde_estable,horario_consumo_consumo_tarde_estable
semanal,consumo_entre_semana_variable,semanal_consumo_entre_semana_variable
semanal,consumo_fin_semana_estable,semanal_consumo_fin_semana_estable
semanal,consumo_fin_semana_variable,semanal_consumo_fin_semana_variable
tipo_consumo,picos_altos_variabilidad_alta,tipo_consumo_picos_altos_variabilidad_alta
tipo_consumo,picos_bajos_variabilidad_baja,tipo_consumo_picos_bajos_variabilidad_baja
tipo_consumo,picos_moderados_variabilidad_media,tipo_consumo_picos_moderados_variabilidad_media
