eps,min_samples,n_clusters,n_ruido,porcentaje_ruido,Silhouette,Davies_Bouldin,Calinski_Harabasz
0.3,5,28,1088,20.211777819060003,-0.14697609637946513,0.7359524884649924,74.2432044032071
0.3,10,8,1619,30.076165706854912,0.00315648851697004,0.8946266531840646,177.67953534196198
0.3,20,3,2203,40.92513468326212,0.2562427271382027,0.9650046808614654,393.876171764536
0.3,30,4,2758,51.23537061118335,0.2207362994804746,0.7278212813804599,218.00390499219174
0.3,50,1,3591,66.71001300390117,,,
0.5,5,11,507,9.418539847668587,0.15211056188093355,0.5604744482610797,53.75388524864521
0.5,10,2,745,13.839866245587961,0.4124322850734335,0.49566692996612655,45.52398174800908
0.5,20,1,1085,20.156046814044213,,,
0.5,30,1,1244,23.10979007988111,,,
0.5,50,2,1555,28.887237599851385,0.22445091943443735,0.771097718146908,104.8392533602456
0.7,5,13,273,5.071521456436931,0.33674831660340016,0.5743324144689692,52.52475666875526
0.7,10,2,438,8.136726732305407,0.6007749984544799,0.3445014214179304,175.085317375698
0.7,20,1,581,10.793237971391417,,,
0.7,30,1,709,13.171094185398477,,,
0.7,50,1,914,16.979379528144158,,,
0.9,5,4,168,3.1209362808842656,0.38511254646304344,0.4988426339774511,51.14018030687859
0.9,10,2,280,5.201560468140442,0.5814057718032668,0.42313524932933366,158.89463637375948
0.9,20,1,415,7.709455693851012,,,
0.9,30,1,468,8.69403678246331,,,
0.9,50,1,594,11.03473899312651,,,
1.1,5,1,105,1.950585175552666,,,
1.1,10,2,164,3.0466282741965447,0.46177462644608197,0.5633551291684855,45.231780957937744
1.1,20,1,283,5.257291473156232,,,
1.1,30,1,367,6.817759613598365,,,
1.1,50,1,430,7.988110718929965,,,
1.3,5,5,56,1.0403120936280885,0.6696914767726264,0.5188643795963527,111.77432708563222
1.3,10,1,111,2.062047185584247,,,
1.3,20,1,188,3.4924763143228685,,,
1.3,30,1,264,4.90432844138956,,,
1.3,50,1,346,6.427642578487832,,,
1.5,5,2,34,0.6316180568456251,0.691401673743452,0.28652483431549813,102.18717961219366
1.5,10,1,77,1.4304291287386215,,,
1.5,20,1,140,2.600780234070221,,,
1.5,30,1,192,3.566784321010589,,,
1.5,50,1,260,4.830020434701839,,,
2.0,5,2,20,0.371540033438603,0.7937434592904553,0.2066770714448338,182.23187344218374
2.0,10,1,34,0.6316180568456251,,,
2.0,20,1,60,1.114620100315809,,,
2.0,30,1,80,1.486160133754412,,,
2.0,50,1,112,2.080624187256177,,,
