,log_consumo_medio,log_consumo_std,log_consumo_max,log_consumo_invierno,log_consumo_verano,log_consumo_finde,log_consumo_semana,ratio_invierno_verano_clip,dias_registrados
log_consumo_medio,1.0,0.8194819220258776,0.8507155415126822,0.981865992331827,0.9286853125900437,0.9899524128135275,0.9982530253967835,0.3010838673443883,-0.044996264776009
log_consumo_std,0.8194819220258776,1.0,0.9309362866231988,0.8529760629491977,0.6639481795730491,0.8125686174173593,0.8168061558518488,0.5102433103015472,-0.047242545643964115
log_consumo_max,0.8507155415126822,0.9309362866231988,1.0,0.8686531405188658,0.729478750204787,0.8451522327801766,0.8475887430673981,0.4272749598517034,-0.0235426441425595
log_consumo_invierno,0.981865992331827,0.8529760629491977,0.8686531405188658,1.0,0.8635950984327695,0.9716180462612625,0.9803245046313704,0.44028485822054525,-0.03503863215076886
log_consumo_verano,0.9286853125900437,0.6639481795730491,0.729478750204787,0.8635950984327695,1.0,0.9219256407159625,0.9261069156871097,0.020853392242498103,-0.03873835723813661
log_consumo_finde,0.9899524128135275,0.8125686174173593,0.8451522327801766,0.9716180462612625,0.9219256407159625,1.0,0.9801940783092401,0.2940182076831564,-0.04856855031522708
log_consumo_semana,0.9982530253967835,0.8168061558518488,0.8475887430673981,0.9803245046313704,0.9261069156871097,0.9801940783092401,1.0,0.30216517099516693,-0.04339724778454441
ratio_invierno_verano_clip,0.3010838673443883,0.5102433103015472,0.4272749598517034,0.44028485822054525,0.020853392242498103,0.2940182076831564,0.30216517099516693,1.0,-0.01882803061369585
dias_registrados,-0.044996264776009,-0.047242545643964115,-0.0235426441425595,-0.03503863215076886,-0.03873835723813661,-0.04856855031522708,-0.04339724778454441,-0.01882803061369585,1.0
