modelo,configuracion,n_clusters,ruido_pct,cluster_mayor_pct_sin_ruido,cluster_menor_pct_sin_ruido,Silhouette,Davies_Bouldin,Calinski_Harabasz,eps,min_samples
DBSCAN_PCA,"eps=0.8, min_samples=10",2,4.25334323922734,99.59262851600388,0.4073714839961203,0.4992984019242185,0.4757703855347764,122.92048568681443,0.8,10
DBSCAN_PCA,"eps=0.8, min_samples=5",3,2.786032689450223,99.80894153611005,0.09552923194497516,0.4734582275538033,0.4243864388288882,34.65810519587862,0.8,5
DBSCAN_PCA,"eps=1.0, min_samples=5",3,1.300148588410104,99.7177267595032,0.11290929619872037,0.38816530605171,0.504361791304799,50.99418944885383,1.0,5
DBSCAN_PCA,"eps=0.8, min_samples=20",1,7.819465081723625,100.0,100.0,,,,0.8,20
DBSCAN_PCA,"eps=0.8, min_samples=30",1,9.416790490341754,100.0,100.0,,,,0.8,30
DBSCAN_PCA,"eps=1.0, min_samples=10",1,2.3031203566121845,100.0,100.0,,,,1.0,10
DBSCAN_PCA,"eps=1.0, min_samples=20",1,4.364784546805349,100.0,100.0,,,,1.0,20
DBSCAN_PCA,"eps=1.0, min_samples=30",1,5.739227340267459,100.0,100.0,,,,1.0,30
DBSCAN_PCA,"eps=1.2, min_samples=5",1,0.650074294205052,100.0,100.0,,,,1.2,5
DBSCAN_PCA,"eps=1.2, min_samples=10",1,1.3187221396731055,100.0,100.0,,,,1.2,10
DBSCAN_PCA,"eps=1.2, min_samples=20",1,2.4145616641901935,100.0,100.0,,,,1.2,20
DBSCAN_PCA,"eps=1.2, min_samples=30",1,3.7332838038632987,100.0,100.0,,,,1.2,30
DBSCAN_PCA,"eps=1.4, min_samples=5",1,0.42719167904903416,100.0,100.0,,,,1.4,5
DBSCAN_PCA,"eps=1.4, min_samples=10",1,0.687221396731055,100.0,100.0,,,,1.4,10
DBSCAN_PCA,"eps=1.4, min_samples=20",1,1.337295690936107,100.0,100.0,,,,1.4,20
DBSCAN_PCA,"eps=1.4, min_samples=30",1,1.87592867756315,100.0,100.0,,,,1.4,30
DBSCAN_PCA,"eps=1.6, min_samples=5",1,0.26002971768202077,100.0,100.0,,,,1.6,5
DBSCAN_PCA,"eps=1.6, min_samples=10",1,0.3714710252600297,100.0,100.0,,,,1.6,10
DBSCAN_PCA,"eps=1.6, min_samples=20",1,0.8172362555720655,100.0,100.0,,,,1.6,20
DBSCAN_PCA,"eps=1.6, min_samples=30",1,1.263001485884101,100.0,100.0,,,,1.6,30
DBSCAN_PCA,"eps=1.8, min_samples=5",1,0.20430906389301637,100.0,100.0,,,,1.8,5
DBSCAN_PCA,"eps=1.8, min_samples=10",1,0.26002971768202077,100.0,100.0,,,,1.8,10
DBSCAN_PCA,"eps=1.8, min_samples=20",1,0.48291233283803864,100.0,100.0,,,,1.8,20
DBSCAN_PCA,"eps=1.8, min_samples=30",1,0.7243684992570579,100.0,100.0,,,,1.8,30
DBSCAN_PCA,"eps=2.0, min_samples=5",1,0.11144130757800891,100.0,100.0,,,,2.0,5
DBSCAN_PCA,"eps=2.0, min_samples=10",1,0.1485884101040119,100.0,100.0,,,,2.0,10
DBSCAN_PCA,"eps=2.0, min_samples=20",1,0.2786032689450223,100.0,100.0,,,,2.0,20
DBSCAN_PCA,"eps=2.0, min_samples=30",1,0.44576523031203563,100.0,100.0,,,,2.0,30
DBSCAN_PCA,"eps=2.2, min_samples=5",1,0.09286775631500742,100.0,100.0,,,,2.2,5
DBSCAN_PCA,"eps=2.2, min_samples=10",1,0.13001485884101038,100.0,100.0,,,,2.2,10
DBSCAN_PCA,"eps=2.2, min_samples=20",1,0.18573551263001484,100.0,100.0,,,,2.2,20
DBSCAN_PCA,"eps=2.2, min_samples=30",1,0.2786032689450223,100.0,100.0,,,,2.2,30
DBSCAN_PCA,"eps=2.4, min_samples=5",1,0.055720653789004454,100.0,100.0,,,,2.4,5
DBSCAN_PCA,"eps=2.4, min_samples=10",1,0.09286775631500742,100.0,100.0,,,,2.4,10
DBSCAN_PCA,"eps=2.4, min_samples=20",1,0.11144130757800891,100.0,100.0,,,,2.4,20
DBSCAN_PCA,"eps=2.4, min_samples=30",1,0.16716196136701336,100.0,100.0,,,,2.4,30
DBSCAN_PCA,"eps=2.6, min_samples=5",1,0.055720653789004454,100.0,100.0,,,,2.6,5
DBSCAN_PCA,"eps=2.6, min_samples=10",1,0.09286775631500742,100.0,100.0,,,,2.6,10
DBSCAN_PCA,"eps=2.6, min_samples=20",1,0.11144130757800891,100.0,100.0,,,,2.6,20
DBSCAN_PCA,"eps=2.6, min_samples=30",1,0.13001485884101038,100.0,100.0,,,,2.6,30
DBSCAN_PCA,"eps=2.8, min_samples=5",1,0.055720653789004454,100.0,100.0,,,,2.8,5
DBSCAN_PCA,"eps=2.8, min_samples=10",1,0.07429420505200594,100.0,100.0,,,,2.8,10
DBSCAN_PCA,"eps=2.8, min_samples=20",1,0.11144130757800891,100.0,100.0,,,,2.8,20
DBSCAN_PCA,"eps=2.8, min_samples=30",1,0.11144130757800891,100.0,100.0,,,,2.8,30
DBSCAN_PCA,"eps=3.0, min_samples=5",1,0.03714710252600297,100.0,100.0,,,,3.0,5
DBSCAN_PCA,"eps=3.0, min_samples=10",1,0.055720653789004454,100.0,100.0,,,,3.0,10
DBSCAN_PCA,"eps=3.0, min_samples=20",1,0.055720653789004454,100.0,100.0,,,,3.0,20
DBSCAN_PCA,"eps=3.0, min_samples=30",1,0.07429420505200594,100.0,100.0,,,,3.0,30
