modelo,configuracion,K,Inertia,n_clusters,ruido_pct,cluster_mayor_pct_sin_ruido,cluster_menor_pct_sin_ruido,Silhouette,Davies_Bouldin,Calinski_Harabasz,eps,min_samples
DBSCAN_PCA,"eps=0.8, min_samples=10",,,2,4.25334323922734,99.59262851600388,0.4073714839961203,0.4992984019242185,0.4757703855347764,122.92048568681443,0.8,10.0
DBSCAN_PCA,"eps=0.8, min_samples=5",,,3,2.786032689450223,99.80894153611005,0.09552923194497516,0.4734582275538033,0.4243864388288882,34.65810519587862,0.8,5.0
KMeans_PCA,K=2,2.0,24560.099895901538,2,0.0,52.99034175334324,47.00965824665676,0.4023991800971404,0.9181013431572235,4805.593717024139,,
DBSCAN_PCA,"eps=1.0, min_samples=5",,,3,1.300148588410104,99.7177267595032,0.11290929619872037,0.38816530605171,0.504361791304799,50.99418944885383,1.0,5.0
KMeans_sin_PCA,K=2,2.0,26525.88329014089,2,0.0,53.04606240713225,46.95393759286775,0.38101360504325954,0.9691706303046282,4449.559454654037,,
KMeans_PCA,K=3,3.0,18366.8599051168,3,0.0,46.786775631500745,18.833580980683507,0.337545236056098,1.0388531384974582,4119.675467291691,,
KMeans_sin_PCA,K=3,3.0,20316.64733303351,3,0.0,46.89821693907875,19.01931649331352,0.3113985753029606,1.1023244417424996,3726.4515806572003,,
KMeans_PCA,K=4,4.0,15356.802233218343,4,0.0,38.46582466567608,9.305349182763745,0.2995494854821735,1.1201062705587295,3635.6799407911826,,
KMeans_PCA,K=6,6.0,11749.218410391315,6,0.0,29.36478454680535,4.75482912332838,0.2969393506576715,1.05321648314979,3180.3800400813193,,
KMeans_PCA,K=5,5.0,13204.7302988562,5,0.0,34.713967310549776,4.75482912332838,0.29321249030900415,1.0511549023335587,3389.696099470675,,
KMeans_sin_PCA,K=4,4.0,17295.147756474093,4,0.0,38.46582466567608,9.49108469539376,0.2704161254035885,1.1942463652997866,3231.07422354695,,
KMeans_sin_PCA,K=5,5.0,15091.552867128175,5,0.0,34.76968796433878,4.680534918276375,0.2624945224618291,1.138108141442491,2972.9796200812816,,
KMeans_sin_PCA,K=6,6.0,13636.556648301124,6,0.0,29.36478454680535,4.643387815750372,0.26189766178071666,1.1429923129343846,2746.425966246628,,
